Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
Xdx2_n3nk9Td_aSe7E5ARQ,Rich Table,"American (New),Cocktail Bars,Wine Bars",$31-60,$31-60,"
                                94 out of 100
                            ",43,83,147,276,486,Yes,Full Bar,,No,,,No,Street,,No,Yes,,Free,,Trendy,Casual,Average,
Q3WVLBpfaF9avnq1fFQ51g,Pride of the Mediterranean,"Greek,Mediterranean,Hookah Bars",$11-30,$11-30,"
                                71 out of 100
                            ",154,52,48,45,73,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
dPR81xmmtcTx126HMZlaKQ,Sauce Gough,"American (New),Bars,Salad",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,,Casual,Average,
feufnVt4k_t2eJakDU1bAw,Pläj Scandinavian Restaurant & Bar,"Scandinavian,Bars",$31-60,$31-60,"
                                91 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,,No,,Classy,Dressy,Average,
W97siDhQbWIVa0MEpcq9iA,Bistro Central Parc,"French,Breakfast & Brunch",$31-60,$31-60,,37,43,61,253,505,Yes,Beer & Wine Only,,No,,,Yes,Street,,No,Yes,,Free,,,Casual,Average,
inVsc1turxk_OpM9E2Q1Rw,Jardiniere,"French,American (New),Champagne Bars",Above $61,Above $61,"
                                86 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Valet, Garage, Street",,No,Yes,,Free,,"Romantic, Classy, Upscale",Dressy,Average,
gpNwW5FC69px4fxiby8gtg,Shabusen Restaurant,"Japanese,Hot Pot,Fondue",$11-30,$11-30,"
                                88 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,No,No,"Garage, Street",,No,No,,Free,,Casual,Casual,Average,
8Jos9nqlts6DX6o2zKDAzA,Destino,"Latin American,Cocktail Bars,Tapas/Small Plates",$11-30,$11-30,"
                                98 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,No,Yes,,Free,,Trendy,Casual,Average,Music Videos
ciEDsTWhajcdL3KuJqBRlw,Espetus Brazilian Steak House,"Steakhouses,Latin American,Brazilian",$31-60,$31-60,"
                                91 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,No,Yes,,Free,,Classy,Casual,Average,
oqsu3pKpgRMGHj9QItsx0A,Zuni Café,"Italian,French",$31-60,$31-60,"
                                90 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,No,Yes,,No,,,Casual,Average,
uEucSd4jwY_zb10AcEye_g,SPQR,"Italian,Wine Bars,Breakfast & Brunch",$31-60,$31-60,"
                                87 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,No,,,Casual,Average,
PFk6k_hEGG0n6_FAJSm9EQ,Woodhouse Fish Company,"Seafood,American (New)",$11-30,$11-30,"
                                90 out of 100
                            ",57,107,293,878,734,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
fGj7q3Qro-Efk7t-IVnpXQ,Woodhouse Fish,"Seafood,Fish & Chips,Sandwiches",$11-30,$11-30,"
                                87 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,Yes,No,,Casual,,Average,
Weho8zwF8FjO42RJ7jX8kw,Max’s Opera Cafe,American (New),$11-30,$11-30,"
                                79 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Garage, Street",,Yes,Yes,,Free,,Casual,Casual,Average,
9yM20-7fj4LMrOO30nqkBw,L’ardoise Bistro,"French,Wine Bars,Desserts",$31-60,$31-60,"
                                90 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,"Intimate, Romantic",Casual,Average,
ugXtAA14p4EoD42zMaF1Xw,The Grove Fillmore,"Sandwiches,American (New),Breakfast & Brunch",$11-30,$11-30,"
                                89 out of 100
                            ",85,142,339,597,303,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,No,,Free,,Casual,,Average,
wxTdrL-DzyBch1hxxokX0g,Hazel Southern Bar & Kitchen,"Southern,Whiskey Bars,American (New)",$11-30,$11-30,"
                                92 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,No,No,"Garage, Street",,Yes,Yes,Yes,Free,,"Hipster, Casual, Trendy",Casual,Average,
0YPcBWiU-8t2kGe-DOhW5g,Tommy’s Joynt,"American (Traditional),Sandwiches,Bars",Under $10,Under $10,"
                                74 out of 100
                            ",0,0,0,0,0,No,Full Bar,,Yes,,,No,Street,,Yes,No,,No,,Casual,,Average,
r2jiJk3yivcLkWSSYELGcA,Tataki,"Sushi Bars,Bars",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
TrZzOXywqYQImtdvqLYDyQ,Finn Town Tavern,"American (New),Seafood,Breakfast & Brunch",$11-30,$11-30,"
                                90 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,No,No,Street,,Yes,Yes,Yes,Free,,Trendy,Casual,Average,
lJAGnYzku5zSaLnQ_T6_GQ,Brenda’s French Soul Food,"Breakfast & Brunch,French,Soul Food",$11-30,$11-30,"
                                81 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,No,No,Street,,Yes,No,,No,,Casual,Casual,Average,
Fc3OLXzSqYp8cM5ixc7jug,Flore,"American (New),Bars",$11-30,$11-30,"
                                86 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,No,,Free,,Casual,Casual,Average,
iZ5VBmyFAZyJCt88KLwhJw,La Mediterranee,"Middle Eastern,Mediterranean,Armenian",$11-30,$11-30,"
                                91 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,No,,No,,Casual,Casual,Average,
MIJ2lGmKAHe41xRcefHzvg,De Afghanan Kabob House,"Afghan,Middle Eastern",$11-30,$11-30,,35,12,22,113,307,Yes,No,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
XQLmEdXoMzOpffwoFaBtaQ,Kitchen Story,"Breakfast & Brunch,Asian Fusion,American (New)",$11-30,$11-30,"
                                83 out of 100
                            ",136,180,349,872,1127,Yes,Beer & Wine Only,,Yes,,Yes,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
KIK0Frk34Bi99FbNxQNMmQ,Wok Shop Cafe,"Chinese,Seafood,Soup",Under $10,Under $10,"
                                67 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Quiet,
O2y-CyIsJz8f_6f-MJuKIA,Chambers,"American (New),Bars",$11-30,$11-30,"
                                83 out of 100
                            ",53,78,139,355,279,Yes,Full Bar,,No,,,Yes,Street,,No,Yes,,Free,,Trendy,Casual,Average,Background
83lEHBx7nSKvdLz_P5xbMw,Alborz Persian Cuisine,"Middle Eastern,Persian/Iranian",$11-30,$11-30,"
                                81 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Quiet,
b7YegTB6cWpi0XbI9ZEkBQ,Catch,"Seafood,Breakfast & Brunch,American (New)",$31-60,$31-60,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
chZfJOs022rr8DufI4r3Uw,Mozzeria,"Pizza,Italian",$11-30,$11-30,"
                                89 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,Yes,No,,Casual,Casual,Quiet,
IF6C4SvyWWx1li9S2xt_CQ,Piccolo Pizza,"Italian,Pizza",Under $10,Under $10,"
                                92 out of 100
                            ",52,14,37,69,89,Yes,No,,No,,,No,Street,,Yes,No,,No,,Divey,Casual,Average,
dMlsQsPU8Y_oiPYC5hHi2A,Frances,"American (New),Desserts,Wine Bars",$31-60,$31-60,"
                                96 out of 100
                            ",24,47,189,401,764,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,,Casual,Average,
U4xVvEtBs2Dn0wm8jDfMIA,Vertigo Bar,"Bars,Dance Clubs",Moderate,Moderate,,56,39,125,192,79,No,Full Bar,,,,,No,Street,,,No,,,,Divey,,Loud,DJ
ip8uNJnwVaPYYBiV80ZLoQ,Dolce Amore,"Modern European,Breakfast & Brunch,Desserts",$11-30,$11-30,"
                                98 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,No,Yes,Street,,Yes,Yes,,No,,Classy,Casual,Quiet,
bGI_oq-DVPo2bWJZxDf9gw,Sai Jai Thai Restaurant,"Thai,Desserts,Seafood",Under $10,Under $10,"
                                88 out of 100
                            ",0,0,0,0,0,Yes,No,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
Rh4NhLtNdlOcQnc-iCRJOQ,Don Ramon’s,"Mexican,Seafood,Cocktail Bars",$11-30,$11-30,"
                                96 out of 100
                            ",45,41,61,96,140,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
yhOdQqSZpK7LmRlFzKnbYQ,Jackson Fillmore Trattoria,"Italian,Wine Bars",$11-30,$11-30,"
                                90 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,Casual,Casual,Average,
A6D6wG5y0sqpaqJjgc8QeQ,Manora’s Thai Cuisine,"Thai,Bars",$11-30,$11-30,"
                                88 out of 100
                            ",13,39,89,210,202,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
Kxwc8PIKy2JsegNwgBjAtA,Ruth’s Chris Steak House,"Steakhouses,Wine Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,No,,,No,Valet,,Yes,Yes,,No,,Classy,Dressy,Average,
p6bLw7PS63Kbge_wyIOP8w,Garibaldi’s,American (New),$31-60,$31-60,"
                                86 out of 100
                            ",23,34,55,197,210,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,Free,,Classy,Dressy,Average,
rUWn1ClI3N8aD3kMEL2xUw,Cafe Mystique,"Mediterranean,Breakfast & Brunch,Burgers",$11-30,$11-30,"
                                86 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,,Casual,Average,
GjdLppkFQODOiV4DQZ5EyA,Victor’s Pizzeria & Italian Restaurant,"Pizza,Italian",$11-30,$11-30,"
                                87 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,Yes,No,,Casual,Casual,Average,
LjVlsV9tKGnv7e4Iyt9c5Q,Lark,"American (New),Mediterranean,Wine Bars",$11-30,$11-30,"
                                90 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
43Ca7h2QxO6so8IvRk91FQ,Locanda,"Italian,Bars",$31-60,$31-60,"
                                92 out of 100
                            ",43,96,147,308,342,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Trendy,Casual,Average,
f8fYPWuRB4o225YjPEjq8w,The Alembic,"Bars,American (New),Breakfast & Brunch",$11-30,$11-30,"
                                94 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,No,No,Street,,No,No,Yes,Free,,Hipster,Casual,Average,
T2rwEQ48yjxLlXJ6uzdmzQ,Basil Canteen,"Thai,Noodles,Cocktail Bars",$11-30,$11-30,"
                                86 out of 100
                            ",23,49,77,208,153,Yes,Full Bar,,No,,No,No,Street,,Yes,Yes,No,No,,Casual,Casual,Average,
L2Iy2Wp7ClrVCfSUrfZDMw,Eureka Restaurant & Lounge,"American (New),Southern,Cajun/Creole",$11-30,$11-30,"
                                94 out of 100
                            ",32,45,82,228,204,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,Free,,Romantic,Casual,Average,
vOjAWfhzLaXHa1v5cGnuIQ,Nihon Whisky Lounge,"Japanese,Lounges,Whiskey Bars",$31-60,$31-60,"
                                92 out of 100
                            ",83,129,226,589,340,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Average,DJ
IxDRIBkKtP-f24sr5zHAhQ,Pink Onion,"Pizza,Italian,Gastropubs",$11-30,$11-30,"
                                96 out of 100
                            ",4,1,10,35,153,Yes,Beer & Wine Only,,No,,No,Yes,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Average,
eI0DpD2Xx8hFlk7eAdFCqQ,Swan Oyster Depot,Seafood,$11-30,$11-30,"
                                92 out of 100
                            ",0,0,0,0,0,No,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
468XL3k_1QUQNYpWEV_EVg,Namu Gaji,"Korean,American (New),Breakfast & Brunch",$11-30,$11-30,"
                                89 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
#NAME?,Dolores Park Cafe,"American (New),Coffee & Tea,Breakfast & Brunch",$11-30,$11-30,"
                                94 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,No,,Free,,Casual,Casual,Average,
mDM7-ho67ePJXd5TodtCOg,Acquerello,"Italian,Wine Bars,Venues & Event Spaces",Above $61,Above $61,"
                                100 out of 100
                            ",35,36,97,228,633,Yes,Beer & Wine Only,,No,,,No,"Garage, Street",,No,Yes,,No,,"Romantic, Classy, Upscale",Dressy,Quiet,
kyGuEhgJ7ys_T51pxtHtQw,The Milk Bar,"Dance Clubs,Music Venues,Cocktail Bars",Moderate,Moderate,,67,61,118,106,68,Yes,Full Bar,,,,,No,Street,,,No,,,,Hipster,,Loud,DJ
YBIXea7qj0RwEN5HJDw0Yg,Hong Kong Lounge II,"Dim Sum,Seafood,Cantonese",$11-30,$11-30,"
                                72 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,No,No,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
reXWH9Wo0ZTOuQsTMNOSxg,Fable,"American (New),Wine Bars,Breakfast & Brunch",$11-30,$11-30,"
                                92 out of 100
                            ",20,37,51,128,182,Yes,Beer & Wine Only,,No,,Yes,Yes,Street,,Yes,Yes,Yes,No,,,Casual,Average,Background
YqvoyaNvtoC8N5dA8pD2JA,Delfina,"Italian,Wine Bars",$31-60,$31-60,"
                                96 out of 100
                            ",86,138,281,636,831,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,,No,,Trendy,Casual,Average,
MmI91-KoLkfdMVQhaafvMQ,Kezar Bar & Restaurant,"American (New),Gastropubs,Latin American",$11-30,$11-30,"
                                85 out of 100
                            ",41,44,77,102,53,Yes,Full Bar,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
ptlwIBbhC6m6TdcQscf54A,Mel’s Drive-In,"Breakfast & Brunch,American (Traditional),Cocktail Bars",$11-30,$11-30,"
                                82 out of 100
                            ",140,165,205,165,118,Yes,Beer & Wine Only,,No,,,No,Private Lot,,Yes,No,,Free,,Casual,Casual,Average,Juke Box
VzlVF1yc_BboRwwqJcvkxg,Mymy,"Breakfast & Brunch,American (New)",$11-30,$11-30,"
                                90 out of 100
                            ",73,74,164,502,690,Yes,Beer & Wine Only,,No,,Yes,Yes,Street,,Yes,No,,No,,Casual,Casual,Average,
5ZpwZiSh2jVSjyO54LsMiw,Chanvi Eatery,"Indian,Halal,Seafood",Under $10,Under $10,"
                                92 out of 100
                            ",0,0,0,0,0,Yes,No,,Yes,,,No,Street,,Yes,Yes,Yes,Free,,Casual,Casual,,
ZDvIMjJ-7I0561ckM4pAeA,Anchor Oyster Bar,Seafood,$31-60,$31-60,"
                                89 out of 100
                            ",44,37,86,340,872,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,No,,No,,Casual,Casual,Average,
14OmmSWHfM717iZo5jePtg,Olea,American (New),$11-30,$11-30,"
                                98 out of 100
                            ",56,62,110,326,326,Yes,Beer & Wine Only,,No,,,Yes,"Garage, Street",,No,Yes,,No,,Casual,Casual,Average,
gqVl3RprESEqkIPeJH0yOg,Zazie,"Breakfast & Brunch,French",$11-30,$11-30,"
                                92 out of 100
                            ",102,193,474,1462,1811,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
1pt2rJJrCxVs5YbWiAqMxQ,As Quoted,"American (New),Coffee & Tea",$11-30,$11-30,"
                                87 out of 100
                            ",14,28,34,38,66,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,No,Yes,Free,,"Casual, Trendy",Casual,Average,
bENuHq5nDdvSEDsIxSBnQA,Kezar Pub,"Pubs,Sports Bars,American (Traditional)",$11-30,$11-30,"
                                91 out of 100
                            ",47,41,102,274,180,Yes,Full Bar,,No,,,No,Street,,Yes,No,,Free,,Casual,Casual,Average,Juke Box
Wi2c4gGu2W-QFBSumihRfg,Kim Thanh Restaurant,"Chinese,Vietnamese,Seafood",$11-30,$11-30,"
                                100 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
oT08T3Vpn1I7jDmrBBRMTw,House of Prime Rib,"American (Traditional),Steakhouses,Wine Bars",$31-60,$31-60,"
                                96 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,No,Yes,Yes,No,,Classy,Casual,Average,
KkAVX3Wb7E3lP5F_f_8pXg,Liholiho Yacht Club,"Bars,American (New),Seafood",$31-60,$31-60,"
                                100 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,No,No,"Garage, Street",,No,Yes,Yes,No,,"Casual, Trendy",Casual,Average,
2vlDWJxhWsESJQVSaghAeA,Southpaw BBQ,"Barbeque,Southern,Whiskey Bars",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,No,No,Street,,Yes,Yes,Yes,No,,Casual,Casual,Average,
ZtFGuS4Z3rZ-J3Abw4V-oA,Sociale,"Italian,Venues & Event Spaces,Wine Bars",$31-60,$31-60,"
                                88 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,No,Yes,,No,,"Intimate, Romantic",Casual,Average,
lL-Zq1hlHreP7qAA2sVqNg,Basil Thai Restaurant & Bar,"Thai,Bars",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,"Casual, Trendy",Casual,Average,
OFLNt6Zcis68TlujtZM-Gw,Tacolicious,"Mexican,Cocktail Bars",$11-30,$11-30,"
                                87 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,,,No,,Trendy,Casual,Loud,
29ys00My-dBVpBDIO58ifw,Bell Tower,"Bars,American (Traditional)",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,No,,Free,,Casual,Casual,Average,
FqYg7BcsryLFiUTknxpQpw,Harris’ Restaurant,Steakhouses,Above $61,Above $61,"
                                90 out of 100
                            ",69,96,218,495,841,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,,No,,"Classy, Upscale",Dressy,Average,
8bySDwY9OU-DWaZebUR7vg,Rocco’s Café,"Italian,American (Traditional),Breakfast & Brunch",$11-30,$11-30,"
                                85 out of 100
                            ",48,74,145,253,355,Yes,Beer & Wine Only,,Yes,,No,No,Street,,Yes,Yes,,No,,Casual,Casual,Average,
rj3zIk7t9ySGMxVGGTA8gg,Fino Ristorante & Bar,"Italian,Desserts,Pizza",$11-30,$11-30,,31,59,102,341,516,Yes,Full Bar,,No,,,No,Street,,No,Yes,,No,,Romantic,Casual,Average,
_ZC_Zvq5DqaPVXIqFzPkBQ,Le Colonial,"Vietnamese,Venues & Event Spaces,French",$31-60,$31-60,"
                                100 out of 100
                            ",136,151,294,565,430,Yes,Full Bar,,No,,,Yes,"Valet, Street",,Yes,Yes,,Free,,Classy,Dressy,Average,
z044R1luJTuVtzUGUA9d-A,Phoenix Irish Bar,"Sports Bars,Irish Pub",Moderate,Moderate,"
                                84 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,,,,No,Street,,,No,,Free,,Casual,,Average,
L7pc5vy6tv8WDcrwOGplDA,Farmerbrown,"Soul Food,Breakfast & Brunch,Cocktail Bars",$11-30,$11-30,"
                                87 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Valet, Street, Private Lot",,Yes,Yes,Yes,Free,,Hipster,Casual,Loud,
x7m7HtntkUCqam9qON6h6A,Belcampo Restaurant & Butcher Shop,"Butcher,American (New),Burgers",$11-30,$11-30,"
                                96 out of 100
                            ",26,26,45,67,73,Yes,Beer & Wine Only,,No,,Yes,No,"Garage, Street",,Yes,No,Yes,No,,Casual,Casual,Average,
FRpULkKmvD9caSKabQzq5w,The Italian Homemade Company,"Italian,International Grocery",$11-30,$11-30,"
                                87 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,No,Yes,Free,,Casual,Casual,Average,
tKmqlKWOMMiU8pn0gLliXA,Flores,"Mexican,Cocktail Bars",$11-30,$11-30,"
                                91 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,Free,,"Casual, Trendy",Casual,Average,
nRxk-JSF_rq1RKqrTfcgRg,La Marsa,"Wine Bars,Mediterranean",$11-30,$11-30,"
                                100 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,No,Street,,Yes,Yes,Yes,Free,,Casual,Casual,Quiet,
6RD33qPwBS6j3ggo84J4iA,Bissap Baobab,"Senegalese,Dance Clubs,Bars",$11-30,$11-30,"
                                84 out of 100
                            ",57,74,152,365,240,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
